id,pais,iso_3,nivel,entidade,regiao,ano,data_completa,status,fonte,tipo_evidencia,cor_mapa,url_documento,url_referencia,fator_risco_wwa,justificativa,observacoes,verificado,adm1_ne_id,lat,lon
1,Andorra,AND,nacional,Andorra General Council,,2020.0,23 Jan 2020,ativo,CEDAMIA,declaracao-formal,vermelho,https://www.cedamia.org/wp-content/uploads/2020/04/Andorra-but008-2020-Acord-de-reconeixement-de-la-crisi-climatica-i-de-declaracio-de-l2019estat-d2019emergencia-climatica-i-ecologica.pdf,,,,Climate & Ecological,False,,,
2,Argentina,ARG,nacional,Argentinian Senate,,2019.0,17 Jul 2019,ativo,CEDAMIA,declaracao-formal,vermelho,https://www.cedamia.org/ced-regions-in-argentina/,,,,Climate & Ecological,False,,,
3,Austrália,AUS,municipal,Adelaide City Council,SA,2019.0,27 Aug 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://dmzweb.cityofadelaide.com.au/agendasminutes/files08/Minutes/Council/2019/2019_08_27Council.pdf,https://indaily.com.au/news/local/2019/08/28/city-council-changes-mind-on-climate-emergency/,,,Declared CE,False,1159313267.0,-34.9281805,138.5999312
4,Austrália,AUS,municipal,Adelaide Hills Council,SA,2019.0,26 Mar 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.ahc.sa.gov.au/ahc-council/Documents/Ordinary-Council/Council-MINUTES/COUNCIL-MINUTES-2019-03-26.pdf,,,,Recognised CE,False,1159313267.0,-34.901351,138.8293202
5,Austrália,AUS,municipal,Albury City Council,NSW,2022.0,28 Mar 2022,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.alburycity.nsw.gov.au/council/about-council/business-papers,https://www.bordermail.com.au/story/7676881/council-embraces-climate-emergency-status/?src=rss,,,Declared CE,False,1159313299.0,-36.0737734,146.9135265
6,Austrália,AUS,municipal,Alexandrina Council,SA,2019.0,16 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.alexandrina.sa.gov.au/__data/assets/pdf_file/0029/391475/Council-Minutes-16-December-2019.pdf,https://www.victorharbortimes.com.au/story/6548131/alexandrina-and-victor-harbor-councils-declare-a-climate-emergency-at-december-meetings/,,,Declared CE,False,1159313267.0,-35.3377267,138.8347505
7,Austrália,AUS,municipal,Alpine Shire Council,VIC,2021.0,9 Nov 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.alpineshire.vic.gov.au/council-meetings-2021,,,,Recognised CE,False,1159313263.0,-36.833543,146.9887102
8,Austrália,AUS,estadual,Armidale Regional Council,NSW,2019.0,23 Oct 2019,ativo,CEDAMIA,declaracao-formal,laranja,https://www.cedamia.org/wp-content/uploads/2019/12/Armidale-REgional-Ordinary-Minutes-23-October-2019.pdf,,,,Declared CE,False,1159313299.0,-30.5286665,151.6156257
9,Austrália,AUS,municipal,Augusta-Margaret River Shire Council,WA,2019.0,25 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.amrshire.wa.gov.au/library/file/1Council/Meetings/2019%20Council%20Meetings/OM%2025_09_19%20MINS.pdf,https://thewest.com.au/news/augusta-margaret-river-times/council-declares-climate-emergency-ng-b881335129z,,,Declared CE,False,1159315805.0,-34.1401727,115.1758826
10,Austrália,AUS,estadual,Australian Capital Territory Legislative Assembly,ACT,2019.0,16 May 2019,ativo,CEDAMIA,declaracao-formal,laranja,https://www.cedamia.org/ced-regions-in-australia/,https://reneweconomy.com.au/act-declares-climate-change-emergency-slams-federal-government-failure-to-act-83611/,,,Acknowledged CE,False,1159313297.0,-35.2965236,149.1295736
