Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
,,,,,Council operations,Community-wide,,,,,,,,(at time of CED),,,,,,,,,
Andorra,,,,,,2050,,,,,,,,,,,,,,,,,
Andorra General Council,,,"77,543",23 Jan 2020,,2050 (37% by 2030),Climate & Ecological,https://www.cedamia.org/wp-content/uploads/2020/04/Andorra-but008-2020-Acord-de-reconeixement-de-la-crisi-climatica-i-de-declaracio-de-l2019estat-d2019emergencia-climatica-i-ecologica.pdf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
Andorra totals:,,1,"77,543",100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,2050,,,,,,,,,,,,,,,,,
Argentinian Senate,,,"44,938,712",17 Jul 2019,,,Climate & Ecological,https://www.cedamia.org/ced-regions-in-argentina/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
Argentina totals:,,1,"44,938,712",100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Australia,,118,<-CED total for Australia,,,2050,,"If Minutes cell below is empty, please send us a minutes link if you have one!",,,,,,,,,,,,,,,
Adelaide City Council,,SA,"24,794",27 Aug 2019,Achieved 2020,2025,Declared CE,https://dmzweb.cityofadelaide.com.au/agendasminutes/files08/Minutes/Council/2019/2019_08_27Council.pdf,https://indaily.com.au/news/local/2019/08/28/city-council-changes-mind-on-climate-emergency/,https://www.cityofadelaide.com.au/about-adelaide/our-sustainable-city/carbon-neutral-adelaide/,,,Unaffiliated,,,Yes,Yes,,Yes,,Yes,Yes,
Adelaide Hills Council,,SA,"38,863",26 Mar 2019,,,Recognised CE,https://www.ahc.sa.gov.au/ahc-council/Documents/Ordinary-Council/Council-MINUTES/COUNCIL-MINUTES-2019-03-26.pdf,,https://www.ahc.sa.gov.au/ahc-council/Documents/Reports-Strategies-Policies-Plans/Strategies-Plans/COUNCIL-PLAN-Carbon-Management-2019.pdf,https://www.ahc.sa.gov.au/ahc-news/Pages/Council-declares-Climate-Emergency.aspx,,Unaffiliated,,,,,,,,Yes,,
Albury City Council,,NSW,"53,767",28 Mar 2022,2040,2040,Declared CE,https://www.alburycity.nsw.gov.au/council/about-council/business-papers,https://www.bordermail.com.au/story/7676881/council-embraces-climate-emergency-status/?src=rss,,,,Independent,"7 Independents, 1 Greens, 1 Country Labor",,,,,,,Yes,,
